stop_id,stop_code,stop_lat,stop_lon
HIGCRES,1285,40.022585,-83.013612
HIGOLES,1286,40.019816,-83.01288
HIGDODS,1287,40.016273,-83.011874
HIGHUDS,1288,40.014079,-83.011307
HIGMAYS,1290,40.01139,-83.010561
HIGOAKS,1291,40.009249,-83.010043
HIGNORWS,1292,40.007766,-83.009657
HIG15TS,1295,39.999731,-83.008093
HIG13TS,1296,39.998105,-83.00777
HIGCHIS,1297,39.995901,-83.007325
HIG10TS,1298,39.993781,-83.006902
HIGKINS,1300,39.990316,-83.00623
HIGCLAS,1301,39.988966,-83.005955
HIG5THS,1302,39.986763,-83.005527
HIG4THS,1303,39.98496,-83.005203
HIGSTARS,1304,39.983037,-83.004829
HIGPRIS,1305,39.980398,-83.004296
HIGHUBS,1306,39.978538,-83.003938
HIGBUTS,1307,39.976915,-83.003575
HIGRUSS,1308,39.975286,-83.00323
COLRICW,1309,39.88154,-83.080869
BRO1STN,1312,39.899293,-83.079356
HARBLUN,1313,39.910849,-83.069464
NEICOLN,1318,39.976196,-83.010772
3RDNORW,1329,39.984595,-83.0319
3RDOXLW,1330,39.984727,-83.034929
GOO868W,1332,39.974396,-83.027015
NORTHONW,1333,39.986967,-83.04082
NOR5THN,1334,39.988911,-83.040689
HIGHALS,1336,40.103119,-83.017269
WESWALS,1337,40.062012,-82.935196
RIV5THS,1338,39.989877,-83.064345
NORGLENW,1341,39.998608,-83.052666
NORBARNW,1342,39.999801,-83.054031
NORGUINW,1343,40.001613,-83.055291
NORBRANW,1344,40.003121,-83.057064
MAI5THE,1347,39.956876,-82.992364
NELAVAN,1358,39.982398,-82.94266
NELOPPN,1360,39.984798,-82.941564
NELAVAS,1363,39.981882,-82.94307
HIGLARS,1379,40.098805,-83.017529
5TH220W,1382,39.989715,-83.065637
5TH2200E,1384,39.989582,-83.065361
HIGSTEN,1385,39.941826,-82.99657
3RDNWBE,1395,39.984792,-83.038561
3RDOXLE,1397,39.984633,-83.034702
NEICOLS,1408,39.976044,-83.010961
NEIGOOS,1409,39.974442,-83.010669
4TH803N,1416,39.979403,-82.998052
4TH2NDN,1418,39.982598,-82.998669
4THDETN,1419,39.984476,-82.999031
4TH5THN,1420,39.987295,-82.999474
4TH9THN,1423,39.993087,-82.999114
4THCHIN,1425,39.995224,-82.998979
4TH15TN,1427,39.999446,-82.998671
4TH18TN,1428,40.002163,-82.998477
4THLANN,1430,40.005627,-82.998235
4THALDN,1432,40.008527,-82.99804
4THMAYN,1433,40.011384,-82.997832
4THCLIN,1434,40.013338,-82.997682
HUDSUMW,1436,40.015189,-83.000464
INDARCN,1438,40.017252,-83.001975
INDPARN,1439,40.019862,-83.001789
INDTULN,1441,40.022615,-83.001627
INDWEBN,1442,40.024278,-83.001531
INDMILN,1443,40.02605,-83.001383
INDCOMN,1444,40.027912,-83.00125
INDCLIN,1445,40.029849,-83.001069
INDNORN,1446,40.031582,-83.000921
INDPIEN,1448,40.034704,-83.000719
INDTORN,1449,40.036662,-83.000581
INDFALN,1450,40.038868,-83.000428
INDNORTN,1452,40.041894,-83.000154
INDGLEN,1453,40.04407,-82.999992
INDCOON,1454,40.049251,-82.999786
INDWEIN,1457,40.054291,-83.000236
INDBEAN,1458,40.05721,-83.000502
INDJEFN,1460,40.060612,-83.000946
MORCOLW,1461,40.06185,-83.003354
MORBEEW,1462,40.061968,-83.00614
MORELKW,1464,40.062147,-83.010863
MORFOSW,1465,40.062298,-83.014237
MORBEECW,1466,40.062398,-83.016365
BROOLDW,1467,39.95257,-83.124184
MORFOSE,1470,40.062158,-83.014094
MORELKE,1471,40.062041,-83.011355
MORSHAE,1472,40.061908,-83.008022
MORCOLE,1474,40.061703,-83.003226
INDJEFS,1475,40.060441,-83.001082
HIGDELS,1476,39.91059,-82.995466
INDBEAS,1478,40.056855,-83.000623
HIGHIGHN,1479,40.105483,-83.016919
INDSCHS,1480,40.051899,-83.000181
INDCOOS,1481,40.048228,-82.999937
INDGLES,1482,40.044376,-83.000121
INDNORTS,1483,40.042163,-83.000314
INDFALS,1485,40.038657,-83.000608
INDTORS,1486,40.036485,-83.000755
INDOAKS,1488,40.033176,-83.000973
INDNORS,1489,40.03106,-83.001152
INDWALS,1490,40.028941,-83.001328
INDMELS,1491,40.025432,-83.001615
INDTIBS,1492,40.023728,-83.001736
INDCRES,1493,40.022098,-83.001848
INDOLES,1494,40.020437,-83.001952
INDARCS,1495,40.017091,-83.002193
HUDSUME,1497,40.015099,-83.000871
SUMMAYS,1499,40.010888,-83.000494
SUMALDS,1501,40.007846,-83.000721
SUMLANS,1502,40.005454,-83.000882
SUM18TS,1504,40.001741,-83.001135
SUM15TS,1505,39.999635,-83.001272
SUMCHIS,1507,39.995404,-83.00156
SUM7THS,1510,39.99033,-83.001899
SUM5THS,1511,39.98671,-83.002122
SUM2NDS,1513,39.982279,-83.00125
SUMWARS,1515,39.979067,-83.000575
CLECOON1,1517,40.045272,-82.95756
5THDENW,1518,39.987267,-83.00813
5THHIGW,1519,39.987365,-83.011105
5THNEIW,1520,39.987437,-83.012906
5THMICW,1522,39.987548,-83.016427
5THPERW,1523,39.987637,-83.018613
5THTISW,1524,39.987737,-83.021212
5THOLEW,1525,39.987945,-83.02646
5THHESW,1527,39.988226,-83.032033
5THKENW,1529,39.988382,-83.035246
5THDOTW,1530,39.988507,-83.037735
5THNORTW,1531,39.988646,-83.040543
5THGRANW,1532,39.988835,-83.044265
5THFAIW,1533,39.989,-83.047544
5THASHW,1535,39.989115,-83.050164
5THWESW,1536,39.989209,-83.052682
5THWYAW,1537,39.989322,-83.055638
5THCAMW,1538,39.98941,-83.057964
ARLCHEN,1540,39.991213,-83.060182
ARLCAMN,1541,39.993055,-83.060319
ARLEDGN,1543,39.996391,-83.060583
ARLMALN,1544,39.999008,-83.061587
ARLTEWN,1545,40.001204,-83.063641
ARLWICN,1546,40.00239,-83.0651
TRELANN,1550,40.007743,-83.070121
TREWILN,1551,40.009985,-83.069818
TRENORN,1552,40.012219,-83.068761
TREFARN,1553,40.014584,-83.066663
TREINCN,1555,40.017522,-83.064133
TREZOLN,1556,40.01887,-83.062934
TRELANGN,1557,40.020787,-83.061183
RIDTREW,1558,40.022538,-83.060265
RIDSOMW,1559,40.022694,-83.063418
RIDCOLW,1560,40.022849,-83.066522
RIDREDE,1574,40.02289,-83.069173
RIDCOLE,1575,40.022759,-83.066294
RIDSOME,1576,40.022595,-83.063001
TREZOLS,1579,40.019014,-83.0629
WESFREN,1580,40.069673,-82.929309
WESVALN,1581,40.065968,-82.932064
4THTOWN,1586,39.958973,-82.995428
TREONAS,1587,40.00959,-83.069997
TRELANS,1588,40.007581,-83.070226
ARLTRES,1589,40.005044,-83.069108
ARLWESSW,1591,40.002592,-83.066111
ARLTEWS,1592,40.001287,-83.063842
ARLGUIS,1593,39.99994,-83.062624
ARLWALS,1594,39.997675,-83.061
ARLCAMS,1596,39.993486,-83.060491
ARLCHES,1597,39.991432,-83.060346
ARL5THS,1598,39.989231,-83.060186
5THCAME,1599,39.989314,-83.057926
5THWYAE,1600,39.989221,-83.055496
5THWESE,1601,39.989112,-83.052857
5THASHE,1602,39.989011,-83.050358
5THFAIE,1604,39.98888,-83.047631
5THGRANE,1605,39.988741,-83.044634
5THNORTE,1606,39.988566,-83.04114
5THDOTE,1607,39.988411,-83.038096
5THEASE,1608,39.9883,-83.03581
5THHOLE,1609,39.988186,-83.033569
5THEDGE,1611,39.987948,-83.028914
5THOLEE,1612,39.987801,-83.025864
5THPERE,1614,39.987561,-83.019056
5THMICE,1615,39.987476,-83.016839
5THHIGE,1618,39.98725,-83.011103
5THDENE,1619,39.987153,-83.008523
CLEFUJN,1620,40.088781,-82.950665
MARHAME,1625,39.968762,-82.981551
MOUGARE,1627,39.970955,-82.979411
MOU18TE,1629,39.971639,-82.975812
MOU20TE,1630,39.972044,-82.973551
MOU22NE,1631,39.972486,-82.971179
MOUCHAE,1632,39.972994,-82.968266
MOUBURE,1634,39.973829,-82.963424
MOUTAYE,1635,39.974166,-82.961356
NELMARGS,1637,39.984823,-82.941706
5THLEONE,1640,39.984987,-82.956336
